Test suite generation,Whole process,Test suite execution
2205,14296107,44986
818,14296107,38744
697,14296107,38535
788,14296107,38913
676,14296107,38452
745,14296107,38557
2539,14296107,292835
2605,14296107,295116
2730,14296107,294986
2719,14296107,295437
2554,14296107,298291
2566,14296107,296959
2699,14296107,300192
2738,14296107,293022
2627,14296107,297774
2625,14296107,295777
2697,14296107,293886
3389,14296107,296771
2695,14296107,296618
17126,14296107,293581
14363,14296107,294198
22543,14296107,293559
17582,14296107,292788
14520,14296107,499937
14038,14296107,294902
27607,14296107,295982
20598,14296107,297343
27033,14296107,295582
24852,14296107,295050
35390,14296107,298859
33367,14296107,295210
29714,14296107,294681
35952,14296107,296903
51156,14296107,296025
55945,14296107,298115
68377,14296107,295063
76145,14296107,294027
61104,14296107,296175
107062,14296107,295744
75331,14296107,294957
