Test suite generation,Whole process,Test suite execution
2233,15029579,44693
766,15029579,38770
715,15029579,39016
694,15029579,38248
771,15029579,38271
754,15029579,38391
714,15029579,38250
799,15029579,38620
660,15029579,38371
759,15029579,38421
745,15029579,38308
773,15029579,38679
712,15029579,38441
795,15029579,38914
718,15029579,38422
785,15029579,38242
783,15029579,38615
721,15029579,38369
794,15029579,38342
699,15029579,38394
845,15029579,38702
724,15029579,39935
855,15029579,39097
848,15029579,38408
716,15029579,38069
722,15029579,38503
840,15029579,38902
788,15029579,38388
754,15029579,38257
