tech,valid_ratio,OAS
malta,0.7755,1325.0
malta,0.828,1492.0
malta,0.863,1606.0
malta,0.8485,1572.0
malta,0.8455,1534.0
malta,0.948,1895.0
malta,0.802,1409.0
malta,0.868,1596.0
malta,0.9605,1921.0
malta,0.8205,1499.0
rt,0.573,1143.0
rt,0.6885,1376.0
rt,0.6215,1243.0
rt,0.5925,1183.0
rt,0.6465,1293.0
rt,0.577,1153.0
rt,0.691,1382.0
rt,0.585,1169.0
rt,0.5745,1139.0
rt,0.6325,1262.0
