tech,valid_ratio,OAS
atlas,0.9115,772.0
atlas,0.9045,965.0
atlas,0.727,873.0
atlas,0.9175,875.0
atlas,0.768,666.0
atlas,0.7925,989.0
atlas,0.8345,708.0
atlas,0.7225,900.0
atlas,0.721,702.0
atlas,0.8825,870.0
rt,0.0295,20.0
rt,0.029,27.0
rt,0.0285,17.0
rt,0.028,19.0
rt,0.027,20.0
rt,0.022,16.0
rt,0.0295,26.0
rt,0.0305,23.0
rt,0.022,24.0
rt,0.029,23.0
