tech,valid_ratio,OAS
atlas,0.987,1065.0
atlas,0.9945,453.0
atlas,0.987,818.0
atlas,0.989,1051.0
atlas,0.9895,718.0
atlas,0.9935,1314.0
atlas,0.994,918.0
atlas,0.989,507.0
atlas,0.9875,1053.0
atlas,0.994,863.0
rt,0.6345,447.0
rt,0.604,420.0
rt,0.6285,449.0
rt,0.6245,438.0
rt,0.6395,481.0
rt,0.622,433.0
rt,0.6395,429.0
rt,0.629,435.0
rt,0.6295,440.0
rt,0.614,429.0
