tech,valid_ratio,OAS
malta,0.8,0.0
malta,0.792,0.0
malta,0.792,0.0
malta,0.815,0.0
malta,0.7165,0.0
malta,0.763,0.0
malta,0.76,0.0
malta,0.823,0.0
malta,0.7825,0.0
malta,0.7455,0.0
rt,0.1125,0.0
rt,0.1215,0.0
rt,0.1215,0.0
rt,0.1245,0.0
rt,0.135,0.0
rt,0.139,0.0
rt,0.1215,0.0
rt,0.136,0.0
rt,0.1225,0.0
rt,0.1195,0.0
