tech,valid_ratio,OAS
malta,0.8995,17.0
malta,0.826,0.0
malta,0.9235,0.0
malta,0.9005,0.0
malta,0.921,4.0
malta,0.8555,3.0
malta,0.8155,0.0
malta,0.835,3.0
malta,0.8015,7.0
malta,0.866,4.0
rt,0.124,0.0
rt,0.1235,0.0
rt,0.129,0.0
rt,0.1245,0.0
rt,0.113,0.0
rt,0.127,0.0
rt,0.127,0.0
rt,0.123,0.0
rt,0.1415,0.0
rt,0.132,0.0
