tech,valid_ratio,OAS
atlas,0.971,174.0
atlas,0.963,168.0
atlas,0.9635,450.0
atlas,0.9525,242.0
atlas,0.9905,13.0
atlas,0.967,286.0
atlas,0.9765,400.0
atlas,0.982,147.0
atlas,0.992,435.0
atlas,0.9775,426.0
rt,0.498,183.0
rt,0.4855,165.0
rt,0.496,161.0
rt,0.506,164.0
rt,0.485,159.0
rt,0.5095,161.0
rt,0.511,177.0
rt,0.5,145.0
rt,0.48,152.0
rt,0.4905,164.0
