tech,valid_ratio,OAS
atlas,0.99,539.0
atlas,0.9575,548.0
atlas,0.9885,5.0
atlas,0.989,107.0
atlas,0.987,547.0
atlas,0.9885,444.0
atlas,0.9885,518.0
atlas,0.9945,239.0
atlas,0.9875,548.0
atlas,0.9875,334.0
rt,0.5765,113.0
rt,0.561,101.0
rt,0.5685,109.0
rt,0.54,117.0
rt,0.5505,99.0
rt,0.5715,131.0
rt,0.5695,116.0
rt,0.5745,116.0
rt,0.587,139.0
rt,0.569,145.0
