Test suite generation,Whole process,Test suite execution
2186,9073320,2062
6509,9073320,1582
6635,9073320,1610
6471,9073320,1993
6629,9073320,1448
6587,9073320,1768
6659,9073320,1903
6647,9073320,1794
6830,9073320,1441
6853,9073320,1436
6839,9073320,1398
6835,9073320,2251
6937,9073320,3422
7023,9073320,1589
10042,9073320,4683
7443,9073320,1409
7160,9073320,1469
7235,9073320,1499
7264,9073320,1391
7794,9073320,1428
7852,9073320,1282
7526,9073320,1265
7487,9073320,1366
7456,9073320,1784
7486,9073320,1490
7600,9073320,1420
7616,9073320,1634
7632,9073320,1920
7764,9073320,1585
7746,9073320,1440
7817,9073320,1985
7920,9073320,2413
8093,9073320,1682
8070,9073320,3510
8095,9073320,1749
260156,9073320,19924
56834,9073320,19449
