Test suite generation,Whole process,Test suite execution
1069,2894883,3608
3030,2894883,2539
3091,2894883,2478
3293,2894883,2357
3075,2894883,2433
26259,2894883,25320
26397,2894883,25468
26720,2894883,24599
26663,2894883,24196
27280,2894883,24933
27481,2894883,25245
27700,2894883,25710
27902,2894883,25585
28029,2894883,25844
28392,2894883,25765
28882,2894883,24820
28815,2894883,25037
28863,2894883,25562
30076,2894883,25010
29124,2894883,25482
29301,2894883,25332
30304,2894883,24762
31449,2894883,25686
30227,2894883,25292
30489,2894883,25291
30781,2894883,26231
31421,2894883,24495
31831,2894883,25507
31254,2894883,25816
31318,2894883,25309
31426,2894883,25115
34079,2894883,25430
31922,2894883,32041
32766,2894883,24244
32404,2894883,24475
33313,2894883,24716
32955,2894883,24242
33100,2894883,24594
34079,2894883,25784
33638,2894883,24302
