Test suite generation,Whole process,Test suite execution
1118,2899733,3523
3130,2899733,3240
3002,2899733,2231
3128,2899733,2300
3106,2899733,2417
3149,2899733,2137
3372,2899733,2142
3177,2899733,2082
3216,2899733,2204
3206,2899733,2276
3459,2899733,2432
26345,2899733,23302
26687,2899733,23288
26552,2899733,23792
26996,2899733,23720
27142,2899733,23487
27312,2899733,23584
28003,2899733,24180
27501,2899733,23916
28163,2899733,23725
28406,2899733,23533
28618,2899733,23754
28690,2899733,23083
29330,2899733,23360
28946,2899733,23807
30242,2899733,23093
29458,2899733,23925
29632,2899733,23358
29909,2899733,24164
30654,2899733,23990
30840,2899733,23992
30571,2899733,23475
32094,2899733,23595
31293,2899733,26101
31122,2899733,23605
31867,2899733,23841
32109,2899733,23324
31667,2899733,23589
32208,2899733,23317
