Test suite generation,Whole process,Test suite execution
107,3574675,51687
24,3574675,40765
10,3574675,39559
17,3574675,40755
10,3574675,48899
10,3574675,46616
16,3574675,51652
18,3574675,57974
17,3574675,49248
16,3574675,40664
24,3574675,48504
14,3574675,51056
15,3574675,49220
17,3574675,39346
16,3574675,41800
13,3574675,1155164
22,3574675,46463
14,3574675,48617
15,3574675,47187
16,3574675,49546
18,3574675,47801
19,3574675,57605
15,3574675,49099
16,3574675,41090
14,3574675,51740
17,3574675,51505
10,3574675,50097
11,3574675,40652
15,3574675,51133
18,3574675,48570
16,3574675,47739
9,3574675,49218
16,3574675,49786
17,3574675,47191
14,3574675,46663
14,3574675,40472
17,3574675,48455
9,3574675,41142
16,3574675,48986
10,3574675,46957
