Test suite generation,Whole process,Test suite execution
2240,2226597,4081
2415,2226597,1824
2568,2226597,2042
2517,2226597,2025
2697,2226597,1818
2477,2226597,1846
2487,2226597,1706
2461,2226597,1672
2559,2226597,2764
2693,2226597,1863
2539,2226597,1540
2603,2226597,1878
2649,2226597,1861
2630,2226597,1748
2793,2226597,1912
2723,2226597,2002
2803,2226597,1694
2755,2226597,1992
2775,2226597,1905
2813,2226597,3181
2827,2226597,1983
2839,2226597,2764
2532,2226597,3265
2785,2226597,2079
18831,2226597,20217
18782,2226597,20284
19248,2226597,20495
19308,2226597,21042
19020,2226597,20525
19507,2226597,20267
19616,2226597,20311
20520,2226597,19448
19940,2226597,23035
20963,2226597,20113
20557,2226597,20616
20167,2226597,19695
20954,2226597,19276
23835,2226597,33464
