Test suite generation,Whole process,Test suite execution
1775,2520156,1736
3506,2520156,1216
3472,2520156,897
3479,2520156,1141
3524,2520156,964
3529,2520156,866
3530,2520156,926
3578,2520156,990
3904,2520156,1125
3680,2520156,954
3680,2520156,906
3715,2520156,2042
3729,2520156,1074
3733,2520156,940
4023,2520156,1548
3756,2520156,929
3883,2520156,954
3890,2520156,886
3832,2520156,953
3974,2520156,891
3954,2520156,1031
4026,2520156,845
4011,2520156,935
24870,2520156,9545
25098,2520156,10151
25420,2520156,10261
25554,2520156,9852
26201,2520156,9305
26991,2520156,8878
26733,2520156,9107
26622,2520156,9157
26990,2520156,11534
27092,2520156,10738
27311,2520156,11117
28115,2520156,11796
28154,2520156,9692
27981,2520156,10828
28532,2520156,10212
