Test suite generation,Whole process,Test suite execution
84,2429379,52571
24,2429379,49181
11,2429379,49999
14,2429379,47231
6,2429379,48995
6,2429379,46864
9,2429379,40909
5,2429379,47523
8,2429379,48740
7,2429379,50761
7,2429379,40410
3,2429379,48247
7,2429379,57266
3,2429379,46675
3,2429379,48138
2,2429379,49133
2,2429379,41190
1,2429379,47887
12,2429379,50296
19,2429379,40612
7,2429379,50397
13,2429379,48682
15,2429379,49448
3,2429379,49405
8,2429379,50735
6,2429379,48933
6,2429379,47094
7,2429379,46188
11,2429379,49813
3,2429379,50860
7,2429379,47481
8,2429379,46544
10,2429379,47894
10,2429379,48418
10,2429379,48998
9,2429379,58656
10,2429379,49817
6,2429379,46606
3,2429379,50171
3,2429379,50245
