Test suite generation,Whole process,Test suite execution
486,2211846,51583
377,2211846,48040
270,2211846,47260
238,2211846,40313
158,2211846,47963
234,2211846,47772
166,2211846,41294
203,2211846,50389
165,2211846,40963
341,2211846,48968
325,2211846,39913
313,2211846,38706
256,2211846,38442
229,2211846,39034
390,2211846,37842
285,2211846,40159
290,2211846,38457
304,2211846,39117
253,2211846,38513
337,2211846,39453
396,2211846,38990
237,2211846,38068
281,2211846,39138
165,2211846,37730
261,2211846,39181
171,2211846,46142
296,2211846,40219
172,2211846,42106
302,2211846,39151
172,2211846,38423
295,2211846,38590
228,2211846,38437
337,2211846,39739
195,2211846,40140
321,2211846,39033
159,2211846,37697
285,2211846,39623
219,2211846,39457
302,2211846,38732
151,2211846,47192
