Test suite generation,Whole process,Test suite execution
3886,2677235,3165
5542,2677235,2241
5588,2677235,2056
5493,2677235,2246
5593,2677235,2107
5685,2677235,1984
25826,2677235,19382
26016,2677235,18964
25739,2677235,18651
25904,2677235,18774
26429,2677235,18744
26301,2677235,18504
26947,2677235,18424
27142,2677235,18884
27043,2677235,18779
27011,2677235,19389
27346,2677235,19332
27417,2677235,19294
27936,2677235,19366
27970,2677235,19617
27820,2677235,19578
28148,2677235,20094
29012,2677235,23049
28920,2677235,20836
28890,2677235,19897
29085,2677235,19912
30020,2677235,19281
29287,2677235,19871
29781,2677235,19479
29386,2677235,19590
30406,2677235,19565
30079,2677235,19842
30068,2677235,19690
30525,2677235,19295
30350,2677235,19483
30808,2677235,22751
30716,2677235,19706
32813,2677235,20028
32011,2677235,22977
31302,2677235,19652
