testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType_x,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter,testResultId,statusCode,responseBody,outputContentType_y,passed,failReason,failReasonCategory,timestamp,api,bot,faultClusterIndex,totalFailures,uncoveredByBots,totalUncoveredByBots
test_1iunnr5yukmk4_GetProducts,False,null,True,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1631310918;expand%5B%5D=data;active=true;,,,test_1iunnr5yukmk4_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""XM5OSvsY4PrFHoYn9kG"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001856,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""illegitimately""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""hagbut"",
      ""package_dimensions"": {
        ""height"": 58.0,
        ""length"": 23.0,
        ""weight"": 24.0,
        ""width"": 51.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""pilotage"",
      ""tax_code"": ""txcd_37010000"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001856,
      ""url"": null
    },
    {
      ""id"": ""x9ZxqYz9boKGFH3O4kND"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001855,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""largo""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""neuroanatomy"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": null,
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""icQOcJQ4Kb"",
      ""updated"": 1637001855,
      ""url"": ""costumer""
    },
    {
      ""id"": ""VN8dQ5TjzVZTl4t"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001853,
      ""default_price"": null,
      ""description"": ""resonate"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""bise"",
      ""package_dimensions"": {
        ""height"": 17.0,
        ""length"": 89.0,
        ""weight"": 32.0,
        ""width"": 31.0
      },
      ""shippable"": null,
      ""statement_descriptor"": ""bullheadedness"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""PuogmsOEauoY"",
      ""updated"": 1637001853,
      ""url"": null
    },
    {
      ""id"": ""WsHsQGMnpZ78ghB4"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001853,
      ""default_price"": null,
      ""description"": ""approach"",
      ""images"": [
        ""jubilantly""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""transfer"",
      ""package_dimensions"": {
        ""height"": 79.0,
        ""length"": 96.0,
        ""weight"": 11.0,
        ""width"": 94.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""seating"",
      ""tax_code"": ""txcd_34020005"",
      ""type"": ""service"",
      ""unit_label"": ""6rgOPNke"",
      ""updated"": 1637001853,
      ""url"": null
    },
    {
      ""id"": ""prod_KbMtuNFweoVPaD"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001852,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""playfully""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""diagramming"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""deliverance"",
      ""tax_code"": ""txcd_20060009"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001852,
      ""url"": ""melissa""
    },
    {
      ""id"": ""prod_KbMtQQwOYmpRgW"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001851,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""actress"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": null,
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001851,
      ""url"": ""capsid""
    },
    {
      ""id"": ""1L7GTfjyxOje"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001851,
      ""default_price"": null,
      ""description"": ""colorcast"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""islander"",
      ""package_dimensions"": {
        ""height"": 54.0,
        ""length"": 24.0,
        ""weight"": 48.0,
        ""width"": 51.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""sarracenia"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""TGiDbR"",
      ""updated"": 1637001851,
      ""url"": null
    },
    {
      ""id"": ""jDmnHeSQwgHvbM"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001850,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""elephas"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""parliamentarian"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""pjt"",
      ""updated"": 1637001850,
      ""url"": null
    },
    {
      ""id"": ""x3wER8pXF8W"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001850,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""greegree"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": null,
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""1N2S"",
      ""updated"": 1637001850,
      ""url"": null
    },
    {
      ""id"": ""uzUE2yjRCfbnV2"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001849,
      ""default_price"": null,
      ""description"": ""contort"",
      ""images"": [
        ""remarkably""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""guayaquil"",
      ""package_dimensions"": {
        ""height"": 31.0,
        ""length"": 70.0,
        ""weight"": 75.0,
        ""width"": 74.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""galactosis"",
      ""tax_code"": ""txcd_10303100"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001849,
      ""url"": ""lutjanus""
    }
  ],
  ""has_more"": true,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2) --- [Path '/data/[item]/package_dimensions'] Object instance has properties which are not allowed by the schema: [""height"";""length"";""weight"";""width""] --- [Path '/data/[item]/tax_code'] Instance failed to match at least one required schema among 2",OAS disconformity,1662197772997,Stripe_Products_atlas_3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662197772997.csv,0,395,../target/test-data/Stripe_Products_atlas_3/test-cases_1662197772997.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662197834515.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662197896545.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662197959023.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198021958.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198084977.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198148433.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198213343.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198277575.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198342324.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198407272.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198472819.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198537949.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198603911.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198670164.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198737083.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198804260.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198871011.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198938951.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199007614.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199076704.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199144875.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199215051.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199286954.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199357405.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199430457.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199500681.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199573666.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199646987.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199721139.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199793345.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199865108.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199937754.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200013075.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200086196.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200161551.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200236278.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200309867.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200388488.csv,39
test_1hrj9zgbx87dx_GetProducts,False,null,True,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1629272742;url=chiefly;,,,test_1hrj9zgbx87dx_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""prod_KVdrzaqKtcf33E"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1635681094,
      ""default_price"": null,
      ""description"": ""photographic"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""honestly"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""voodoo"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1635681094,
      ""url"": ""chiefly""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2) --- [Path '/data/[item]/tax_code'] Instance failed to match at least one required schema among 2",OAS disconformity,1662197834515,Stripe_Products_atlas_3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662197834515.csv,1,23,../target/test-data/Stripe_Products_atlas_3/test-cases_1662197834515.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198021958.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198084977.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198407272.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198537949.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198603911.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198804260.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199215051.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199286954.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199357405.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199430457.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199646987.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199937754.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200013075.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200161551.csv,15
test_trz75kx5hffp_GetProducts,False,null,True,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1630818793;shippable=false;expand%5B%5D=data;url=surmountable;,,,test_trz75kx5hffp_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""prod_KZTEE3QEy00FLl"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1636564119,
      ""default_price"": null,
      ""description"": ""melodiously"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""interdict"",
      ""package_dimensions"": {
        ""height"": 75.0,
        ""length"": 46.0,
        ""weight"": 89.0,
        ""width"": 30.0
      },
      ""shippable"": false,
      ""statement_descriptor"": null,
      ""tax_code"": ""txcd_32030001"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1636564119,
      ""url"": ""surmountable""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Object instance has properties which are not allowed by the schema: [""height"";""length"";""weight"";""width""]",OAS disconformity,1662197896545,Stripe_Products_atlas_3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662197896545.csv,2,14,../target/test-data/Stripe_Products_atlas_3/test-cases_1662197896545.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662197959023.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199076704.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199286954.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199357405.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199937754.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200013075.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200086196.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200309867.csv,9
test_urseapy6f52b_GetProducts,False,null,True,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1628978470;url=dysphemistic;,,,test_urseapy6f52b_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""IG4Rs0Euiw7Pudmu2j8Y"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1636872749,
      ""default_price"": null,
      ""description"": ""enjoyably"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""nonsegmental"",
      ""package_dimensions"": {
        ""height"": 48.0,
        ""length"": 4.0,
        ""weight"": 83.0,
        ""width"": 99.0
      },
      ""shippable"": null,
      ""statement_descriptor"": ""stonily"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1636872749,
      ""url"": ""dysphemistic""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Object instance has properties which are not allowed by the schema: [""height"";""length"";""weight"";""width""] --- [Path '/data/[item]/tax_code'] Instance failed to match at least one required schema among 2",OAS disconformity,1662198148433,Stripe_Products_atlas_3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662198148433.csv,3,7,../target/test-data/Stripe_Products_atlas_3/test-cases_1662198148433.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198277575.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199007614.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199076704.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199500681.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199573666.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200309867.csv,7
test_1iut6x0t0fyw4_GetProducts,False,null,True,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1631167875;expand%5B%5D=data;url=phonetically;,,,test_1iut6x0t0fyw4_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""vbtGIZdk6ZPf"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1636289436,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""hereto"",
      ""package_dimensions"": null,
      ""shippable"": false,
      ""statement_descriptor"": null,
      ""tax_code"": ""txcd_00000000"",
      ""type"": ""service"",
      ""unit_label"": ""DX"",
      ""updated"": 1636289436,
      ""url"": ""phonetically""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2)",OAS disconformity,1662198342324,Stripe_Products_atlas_3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662198342324.csv,4,3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662198342324.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662198938951.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662199721139.csv,3
test_vbena1u4438l_GetProducts,False,null,True,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1630447966;url=safely;,,,test_vbena1u4438l_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""rEFdpvw2bQQ9QbJT8N"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1636358826,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""tongue-in-cheek""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""victimisation"",
      ""package_dimensions"": {
        ""height"": 46.0,
        ""length"": 4.0,
        ""weight"": 69.0,
        ""width"": 94.0
      },
      ""shippable"": true,
      ""statement_descriptor"": null,
      ""tax_code"": ""txcd_10402100"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1636358826,
      ""url"": ""safely""
    },
    {
      ""id"": ""JCtzYD7EBomRuY"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1636304035,
      ""default_price"": null,
      ""description"": ""manhandle"",
      ""images"": [
        ""peacefully""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""highboard"",
      ""package_dimensions"": null,
      ""shippable"": true,
      ""statement_descriptor"": ""much"",
      ""tax_code"": ""txcd_40100002"",
      ""type"": ""service"",
      ""unit_label"": ""XG5g3F"",
      ""updated"": 1636304035,
      ""url"": ""safely""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2) --- [Path '/data/[item]/package_dimensions'] Object instance has properties which are not allowed by the schema: [""height"";""length"";""weight"";""width""]",OAS disconformity,1662198342324,Stripe_Products_atlas_3,../target/test-data/Stripe_Products_atlas_3/test-cases_1662198342324.csv,5,2,../target/test-data/Stripe_Products_atlas_3/test-cases_1662198342324.csv;../target/test-data/Stripe_Products_atlas_3/test-cases_1662200013075.csv,2
