testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType_x,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter,testResultId,statusCode,responseBody,outputContentType_y,passed,failReason,failReasonCategory,timestamp,api,bot,faultClusterIndex,totalFailures,uncoveredByBots,totalUncoveredByBots
test_1k22tggu6ofhh_getMultiHotelOffers,False,,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,hotelIds=ALORL761;adults=1;currency=COP;checkInDate=2023-08-10;,,,test_1k22tggu6ofhh_getMultiHotelOffers,200,"{""data"":[]}",application/vnd.amadeus+json,False,"OAS disconformity: [Path '/data'] Instance type (array) does not match any allowed primitive type (allowed: [""object""])",OAS disconformity,1685979222774,Amadeus_Hotels_atlas_4,../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685979222774.csv,0,1512,../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685979222774.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685979297199.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685979490465.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685979878447.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980057908.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980379458.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980430463.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980502400.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980650253.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980716463.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980813429.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980896706.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685980974304.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981186309.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981363861.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981434247.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981502645.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981571808.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981639798.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981708473.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981777891.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981844361.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981926831.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685981996321.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982065165.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982132669.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982200649.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982294068.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982362246.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982429932.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982483306.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982646756.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982703002.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982755527.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982811071.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982880602.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982944587.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983029443.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983092856.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983192763.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983245567.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983315734.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983369337.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983423619.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983508354.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983564093.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983617657.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983687032.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983756434.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983841869.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685983905777.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984033231.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984093525.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984150278.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984221734.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984278433.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984349355.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984403858.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984477003.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984564438.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984645050.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984730514.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984785922.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984886408.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685984973499.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985044479.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985171586.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985280850.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985337785.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985447187.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985503607.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985558732.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985646695.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985702390.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985758907.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985860938.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685985961776.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986032502.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986135841.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986225604.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986282364.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986370736.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986425609.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986511976.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986584593.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986672378.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986759457.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986830213.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986889047.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685986944033.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987003361.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987074595.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987149005.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987236446.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987306853.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987365905.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987842830.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685988484629.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685989025479.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685989691820.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685990422947.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685991093362.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685991681650.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685992381414.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685992899639.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685993644356.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685994182128.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685994814657.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685995476899.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685996035367.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685996624437.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685997156251.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685997757930.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685998294348.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685998900505.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685999430446.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686000027068.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686000667284.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686001265836.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686001877218.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686002465398.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686003103050.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686003603696.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686004183864.csv,124
test_1iyq0e3ok4zle_getMultiHotelOffers,False,,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=Bearer+puyssc5kAci1US2ELzx8hcQAmgBM;,,hotelIds=ARMADAIT%2CONMUCITA;roomQuantity=6;adults=3;currency=COP;priceRange=100;,,,test_1iyq0e3ok4zle_getMultiHotelOffers,200,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""ONMUCITA"",""chainCode"":""ON"",""dupeId"":""700032391"",""name"":""HOTEL ITALIA"",""cityCode"":""MUC"",""latitude"":48.13682,""longitude"":11.56096},""available"":true,""offers"":[{""id"":""0I0QNN7QY8"",""roomQuantity"":""6"",""checkInDate"":""2023-06-05"",""checkOutDate"":""2023-06-06"",""rateCode"":""BAR"",""rateFamilyEstimated"":{""code"":""BAR"",""type"":""P""},""commission"":{""percentage"":""8""},""boardType"":""BREAKFAST"",""room"":{""type"":""C3T"",""typeEstimated"":{""category"":""STANDARD_ROOM"",""beds"":3,""bedType"":""TWIN""},""description"":{""text"":""BAR - Best available rate\nStandard Triple room shower, wc, WiFi for free,"",""lang"":""EN""}},""guests"":{""adults"":3},""price"":{""currency"":""EUR"",""total"":""170.00"",""taxes"":[{""code"":""SALES_TAX"",""pricingFrequency"":""PER_NIGHT"",""pricingMode"":""PER_PRODUCT"",""percentage"":""19.00"",""included"":true}],""variations"":{""average"":{""total"":""170.00""},""changes"":[{""startDate"":""2023-06-05"",""endDate"":""2023-06-06"",""total"":""170.00""}]}},""policies"":{""cancellations"":[{""numberOfNights"":1,""amount"":""100.00"",""deadline"":""2023-06-02T18:00:00+02:00""}],""guarantee"":{""acceptedPayments"":{""creditCards"":[""VI"",""CA"",""AX"",""DC"",""IK"",""EC"",""XS""],""methods"":[""CREDIT_CARD""]}},""paymentType"":""guarantee""},""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers/0I0QNN7QY8""}],""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=ONMUCITA&adults=3&currency=COP&roomQuantity=6""}],""dictionaries"":{""currencyConversionLookupRates"":{""EUR"":{""rate"":""4727.6300000000001091"",""target"":""COP"",""targetDecimalPlaces"":2}}}}",application/vnd.amadeus+json,False,"OAS disconformity: Object instance has properties which are not allowed by the schema: [""dictionaries""] --- [Path '/data'] Instance type (array) does not match any allowed primitive type (allowed: [""object""])",OAS disconformity,1685982362246,Amadeus_Hotels_atlas_4,../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982362246.csv,1,22,../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685982362246.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987149005.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987365905.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685987842830.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685988484629.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685989025479.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685992899639.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685993644356.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685994814657.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685995476899.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685996035367.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685996624437.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685998294348.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685999430446.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686001265836.csv;../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1686003103050.csv,16
test_vb92y410qofs_getMultiHotelOffers,False,,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=Bearer+4ZApqwKJ9BWAYaysnpeH2RVnQFe3;,,hotelIds=HSFLRAPH;adults=6;currency=RUB;lang=ko;,,,test_vb92y410qofs_getMultiHotelOffers,500,"
            {
                ""errors"": [
                        {
                            ""code"": 38189,
                            ""title"": ""Internal error"",
                            ""detail"": ""An internal error occurred, please contact your administrator"",
                            ""status"": 500
                        }
                ]
            }
        ",application/vnd.amadeus+json,False,Status code 5XX with valid request.,Status code 5XX.,1685994182128,Amadeus_Hotels_atlas_4,../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685994182128.csv,2,1,../target/test-data/Amadeus_Hotels_atlas_4/test-cases_1685994182128.csv,1
