testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType_x,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter,testResultId,statusCode,responseBody,outputContentType_y,passed,failReason,failReasonCategory,timestamp,api,bot,faultClusterIndex,totalFailures,uncoveredByBots,totalUncoveredByBots
test_rh7t4bv6cgms_getMultiHotelOffers,False,,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=Bearer+UGVSC6GOn8VZZAAG2hX2M9wH7wJF;,,hotelIds=WVFLRORO;adults=1;includeClosed=false;,,,test_rh7t4bv6cgms_getMultiHotelOffers,200,"{""data"":[]}",application/vnd.amadeus+json,False,"OAS disconformity: [Path '/data'] Instance type (array) does not match any allowed primitive type (allowed: [""object""])",OAS disconformity,1685879511142,Amadeus_Hotels_atlas_1,../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685879511142.csv,0,1592,../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685879511142.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685879601200.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685879780203.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685879899459.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880113054.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880261965.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880312750.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880425376.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880479776.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880546639.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880629912.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880729702.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880903382.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685880985527.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881067344.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881135070.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881201252.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881306107.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881375071.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881456798.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881525346.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881613504.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881679714.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881772318.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881831192.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881913651.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882065333.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882133029.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882273927.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882356983.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882440455.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882508721.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882562667.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882635447.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882693913.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882763679.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882821193.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882891971.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685882964731.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883049194.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883102894.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883158514.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883311145.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883410744.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883545200.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883697380.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883807473.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685883895054.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884002553.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884089354.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884159174.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884227952.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884313746.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884367881.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884452910.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884523567.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884624568.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884741246.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884857087.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884927686.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884984176.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885099940.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885185291.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885285833.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885367629.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885422299.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885477887.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885563891.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885633904.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885688048.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685885844257.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886030699.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886103335.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886179469.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886265010.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886350097.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886436114.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886509052.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886580684.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886669433.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886838184.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886909473.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685886965395.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685887066597.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685887171102.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685887256498.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685887327085.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685888063551.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685888785551.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685889491769.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685890353921.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685891034677.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685891786881.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685892421170.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685893136281.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685893880725.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685894557211.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685895266442.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685895976026.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685896725316.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685897453178.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685898085533.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685898722226.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685899436084.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685900187496.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685900944997.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685901731792.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685902466033.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685903115913.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685903797423.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685904605395.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685905310016.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685906026256.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685906688884.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685907312134.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685908038279.csv,116
test_qxtuazxvxj5k_getMultiHotelOffers,False,,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=Bearer+Nzw3bSAx7AAAaeDwhNM3Cehl2dpL;,,hotelIds=HLMAN101;adults=1;includeClosed=true;currency=JPY;priceRange=0-50000;,,,test_qxtuazxvxj5k_getMultiHotelOffers,200,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""HLMAN101"",""chainCode"":""HL"",""dupeId"":""700050950"",""name"":""HILTON MANCHESTER DEANSGATE"",""cityCode"":""MAN"",""latitude"":53.47524,""longitude"":-2.25143},""available"":true,""offers"":[{""id"":""33EYELINHL"",""checkInDate"":""2023-06-04"",""checkOutDate"":""2023-06-05"",""rateCode"":""RAC"",""rateFamilyEstimated"":{""code"":""BAR"",""type"":""P""},""commission"":{""percentage"":""8""},""room"":{""type"":""A00"",""typeEstimated"":{""category"":""STANDARD_ROOM"",""beds"":1,""bedType"":""QUEEN""},""description"":{""text"":""FLEXIBLE RATE\nQUEEN GUEST ROOM\nCONTEMPORARY ACCOMMODATION\nAIR-CON WORKING DESK SAFE"",""lang"":""EN""}},""guests"":{""adults"":1},""price"":{""currency"":""GBP"",""base"":""299.00"",""total"":""299.00"",""variations"":{""average"":{""base"":""299.00""},""changes"":[{""startDate"":""2023-06-04"",""endDate"":""2023-06-05"",""total"":""299.00""}]}},""policies"":{""cancellations"":[{""description"":{""text"":""Plus Taxes and fees where appropriate.""},""amount"":""299.00"",""deadline"":""2023-06-03T23:59:00+01:00""}],""guarantee"":{""acceptedPayments"":{""creditCards"":[""VI"",""CA"",""AX"",""DC"",""DS"",""JC"",""CU""],""methods"":[""CREDIT_CARD""]}},""paymentType"":""guarantee""},""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers/33EYELINHL""}],""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=HLMAN101&adults=1&currency=JPY""}],""dictionaries"":{""currencyConversionLookupRates"":{""GBP"":{""rate"":""173.7527999999999793"",""target"":""JPY"",""targetDecimalPlaces"":0}}}}",application/vnd.amadeus+json,False,"OAS disconformity: Object instance has properties which are not allowed by the schema: [""dictionaries""] --- [Path '/data'] Instance type (array) does not match any allowed primitive type (allowed: [""object""])",OAS disconformity,1685881067344,Amadeus_Hotels_atlas_1,../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881067344.csv,1,4,../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685881067344.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685884002553.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685888785551.csv;../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685889491769.csv,4
test_1hrud317vhgl3_getMultiHotelOffers,False,,True,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=Bearer+y0CiM4UqFccinCkqy2fF40i6pjVG;,,hotelIds=HGOAK110;adults=5;,,,test_1hrud317vhgl3_getMultiHotelOffers,500,"
            {
                ""errors"": [
                        {
                            ""code"": 38189,
                            ""title"": ""Internal error"",
                            ""detail"": ""An internal error occurred, please contact your administrator"",
                            ""status"": 500
                        }
                ]
            }
        ",application/vnd.amadeus+json,False,Status code 5XX with valid request.,Status code 5XX.,1685895976026,Amadeus_Hotels_atlas_1,../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685895976026.csv,2,1,../target/test-data/Amadeus_Hotels_atlas_1/test-cases_1685895976026.csv,1
