testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType_x,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter,testResultId,statusCode,responseBody,outputContentType_y,passed,failReason,failReasonCategory,timestamp,api,bot,faultClusterIndex,totalFailures,uncoveredByBots,totalUncoveredByBots
test_1h821s7now8qc_getMultiHotelOffers,False,null,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,checkOutDate=2023-09-28;hotelIds=PILPLAKQ%2CRTSYDMEN%2CXRWAS193%2CSIOAK913;adults=8;checkInDate=2023-07-19;,,,test_1h821s7now8qc_getMultiHotelOffers,200,"{""data"":[]}",application/vnd.amadeus+json,False,"OAS disconformity: [Path '/data'] Instance type (array) does not match any allowed primitive type (allowed: [""object""])",OAS disconformity,1686297173565,Amadeus_Hotels_rt_3,../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686297173565.csv,0,1095,../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686297173565.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686297691878.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686298257369.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686298670158.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686299251285.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686299740384.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686300217711.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686300616635.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686301242378.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686301760764.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686302269015.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686302776187.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686303255309.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686303748292.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686304245067.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686304697708.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686305200241.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686305531325.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686305902627.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686306276957.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686306611587.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686306981056.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686307292335.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686307604573.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686307937015.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686308253457.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686308608738.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686308939287.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686309252437.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686309565287.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686309917157.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686310231516.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686310546180.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686310862355.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311178368.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311493658.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311862214.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686312220776.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686312579318.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686312958128.csv,40
test_ubj2gfd90e2f_getMultiHotelOffers,False,null,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=,,hotelIds=RTBERPTZ%2CHSBCNAVW;adults=1;currency=AED;lang=hu-HU;,,,test_ubj2gfd90e2f_getMultiHotelOffers,200,"{""data"":[{""type"":""hotel-offers"",""hotel"":{""type"":""hotel"",""hotelId"":""RTBERPTZ"",""chainCode"":""RT"",""dupeId"":""700016760"",""name"":""Mercure Hotel Berlin Mitte"",""cityCode"":""BER"",""latitude"":52.50016,""longitude"":13.37551},""available"":true,""offers"":[{""id"":""7048QQC03K"",""checkInDate"":""2023-06-09"",""checkOutDate"":""2023-06-10"",""rateCode"":""RAC"",""rateFamilyEstimated"":{""code"":""BAR"",""type"":""P""},""boardType"":""ROOM_ONLY"",""room"":{""type"":""C1S"",""typeEstimated"":{""category"":""STANDARD_ROOM"",""beds"":1,""bedType"":""SINGLE""},""description"":{""text"":""FLEXIBLE RATE-Room only\nSingle Bed Standard"",""lang"":""EN""}},""guests"":{""adults"":1},""price"":{""currency"":""EUR"",""total"":""195.00"",""variations"":{""average"":{""base"":""195.00""},""changes"":[{""startDate"":""2023-06-09"",""endDate"":""2023-06-10"",""base"":""195.00"",""total"":""195.00""}]}},""policies"":{""cancellations"":[{""deadline"":""2023-06-08T00:00:00+02:00""}],""holdTime"":{""deadline"":""2023-06-09T18:00:00""},""guarantee"":{""acceptedPayments"":{""creditCards"":[""AX"",""CA"",""DC"",""EC"",""IK"",""VI""],""methods"":[""TRAVEL_AGENT_ID"",""CREDIT_CARD""]}},""paymentType"":""guarantee""},""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers/7048QQC03K?lang=hu-HU""}],""self"":""https://test.api.amadeus.com/v3/shopping/hotel-offers?hotelIds=RTBERPTZ&adults=1&currency=AED&lang=hu-HU""}],""dictionaries"":{""currencyConversionLookupRates"":{""EUR"":{""rate"":""3.9306260000000002"",""target"":""AED"",""targetDecimalPlaces"":2}}}}",application/vnd.amadeus+json,False,"OAS disconformity: Object instance has properties which are not allowed by the schema: [""dictionaries""] --- [Path '/data'] Instance type (array) does not match any allowed primitive type (allowed: [""object""])",OAS disconformity,1686298257369,Amadeus_Hotels_rt_3,../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686298257369.csv,1,58,../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686298257369.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686298670158.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686299251285.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686299740384.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686300616635.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686301760764.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686302269015.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686302776187.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686303255309.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686303748292.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686305200241.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686305531325.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686305902627.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686306276957.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686306611587.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686306981056.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686307604573.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686307937015.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686308253457.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686308939287.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686309252437.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686309565287.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686309917157.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686310231516.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686310546180.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686310862355.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311178368.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311493658.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686312220776.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686312579318.csv;../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686312958128.csv,31
test_1hv38b4h9eypi_getMultiHotelOffers,False,null,False,getMultiHotelOffers,/shopping/hotel-offers,GET,application/json,application/json,Authorization=Bearer+Oe2GpBq2HhUTRYWF6E4RrBbwlz5I;,,hotelIds=HSFLRAPH%2CMCSYDMCM;adults=6;includeClosed=true;currency=KRW;lang=zh-CN;checkInDate=2023-09-21;paymentPolicy=NONE;bestRateOnly=false;,,,test_1hv38b4h9eypi_getMultiHotelOffers,500,"
            {
                ""errors"": [
                        {
                            ""code"": 38189,
                            ""title"": ""Internal error"",
                            ""detail"": ""An internal error occurred, please contact your administrator"",
                            ""status"": 500
                        }
                ]
            }
        ",application/vnd.amadeus+json,False,Status code 5XX.,Status code 5XX.,1686311493658,Amadeus_Hotels_rt_3,../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311493658.csv,2,1,../target/test-data/Amadeus_Hotels_rt_3/test-cases_1686311493658.csv,1
