testCaseId,faulty,faultyReason,fulfillsDependencies,operationId,path,httpMethod,inputContentType,outputContentType_x,headerParameters,pathParameters,queryParameters,formParameters,bodyParameter,testResultId,statusCode,responseBody,outputContentType_y,passed,failReason,failReasonCategory,timestamp,api,bot,faultClusterIndex,totalFailures,uncoveredByBots,totalUncoveredByBots
test_1hbaxgj99x4qg_GetProducts,False,null,False,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,shippable=false;limit=38;created%5Blte%5D=1629599441;created%5Blt%5D=1630840299;,,,test_1hbaxgj99x4qg_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""prod_GqlEEiYohkggIq"",
      ""object"": ""product"",
      ""active"": false,
      ""attributes"": [],
      ""created"": 1583353262,
      ""default_price"": null,
      ""description"": ""labial"",
      ""images"": [
        ""smite""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""dasymeter"",
      ""package_dimensions"": {
        ""height"": 61.0,
        ""length"": 27.0,
        ""weight"": 47.0,
        ""width"": 80.0
      },
      ""shippable"": false,
      ""statement_descriptor"": null,
      ""tax_code"": ""txcd_31040002"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1635477746,
      ""url"": ""technically""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Object instance has properties which are not allowed by the schema: [""height"";""length"";""weight"";""width""]",OAS disconformity,1671651371255,Stripe_Products_rt_6,../target/test-data/Stripe_Products_rt_6/test-cases_1671651371255.csv,0,47,../target/test-data/Stripe_Products_rt_6/test-cases_1671651371255.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651432906.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651484087.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651541151.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651591850.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651642290.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651795304.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651845988.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651946954.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652097601.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652208616.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652260482.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652365149.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652527843.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652582427.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652635938.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652852170.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652904510.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653015116.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653071861.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653127603.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653243833.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653358891.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653414307.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653469206.csv,25
test_veyn7rsi0zfm_GetProducts,False,null,False,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1632043285;expand%5B%5D=data;created%5Bgte%5D=1631821011;,,,test_veyn7rsi0zfm_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""XM5OSvsY4PrFHoYn9kG"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001856,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""illegitimately""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""hagbut"",
      ""package_dimensions"": {
        ""height"": 58.0,
        ""length"": 23.0,
        ""weight"": 24.0,
        ""width"": 51.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""pilotage"",
      ""tax_code"": ""txcd_37010000"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001856,
      ""url"": null
    },
    {
      ""id"": ""x9ZxqYz9boKGFH3O4kND"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001855,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""largo""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""neuroanatomy"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": null,
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""icQOcJQ4Kb"",
      ""updated"": 1637001855,
      ""url"": ""costumer""
    },
    {
      ""id"": ""s3u6PABpNDmClYM8F"",
      ""object"": ""product"",
      ""active"": false,
      ""attributes"": [],
      ""created"": 1637001855,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""alveolitis"",
      ""package_dimensions"": {
        ""height"": 23.0,
        ""length"": 56.0,
        ""weight"": 37.0,
        ""width"": 10.0
      },
      ""shippable"": false,
      ""statement_descriptor"": null,
      ""tax_code"": ""txcd_10304000"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001855,
      ""url"": null
    },
    {
      ""id"": ""lZil4v70m5GEFEyFoNp"",
      ""object"": ""product"",
      ""active"": false,
      ""attributes"": [],
      ""created"": 1637001854,
      ""default_price"": null,
      ""description"": ""ready"",
      ""images"": [
        ""good""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""ceterach"",
      ""package_dimensions"": {
        ""height"": 1.0,
        ""length"": 14.0,
        ""weight"": 74.0,
        ""width"": 69.0
      },
      ""shippable"": true,
      ""statement_descriptor"": null,
      ""tax_code"": ""txcd_31030001"",
      ""type"": ""service"",
      ""unit_label"": ""z"",
      ""updated"": 1637001854,
      ""url"": null
    },
    {
      ""id"": ""VN8dQ5TjzVZTl4t"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001853,
      ""default_price"": null,
      ""description"": ""resonate"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""bise"",
      ""package_dimensions"": {
        ""height"": 17.0,
        ""length"": 89.0,
        ""weight"": 32.0,
        ""width"": 31.0
      },
      ""shippable"": null,
      ""statement_descriptor"": ""bullheadedness"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""PuogmsOEauoY"",
      ""updated"": 1637001853,
      ""url"": null
    },
    {
      ""id"": ""WsHsQGMnpZ78ghB4"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001853,
      ""default_price"": null,
      ""description"": ""approach"",
      ""images"": [
        ""jubilantly""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""transfer"",
      ""package_dimensions"": {
        ""height"": 79.0,
        ""length"": 96.0,
        ""weight"": 11.0,
        ""width"": 94.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""seating"",
      ""tax_code"": ""txcd_34020005"",
      ""type"": ""service"",
      ""unit_label"": ""6rgOPNke"",
      ""updated"": 1637001853,
      ""url"": null
    },
    {
      ""id"": ""prod_KbMtuNFweoVPaD"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001852,
      ""default_price"": null,
      ""description"": null,
      ""images"": [
        ""playfully""
      ],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""diagramming"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""deliverance"",
      ""tax_code"": ""txcd_20060009"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001852,
      ""url"": ""melissa""
    },
    {
      ""id"": ""prod_KbMtQQwOYmpRgW"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001851,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""actress"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": null,
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1637001851,
      ""url"": ""capsid""
    },
    {
      ""id"": ""1L7GTfjyxOje"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001851,
      ""default_price"": null,
      ""description"": ""colorcast"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""islander"",
      ""package_dimensions"": {
        ""height"": 54.0,
        ""length"": 24.0,
        ""weight"": 48.0,
        ""width"": 51.0
      },
      ""shippable"": true,
      ""statement_descriptor"": ""sarracenia"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""TGiDbR"",
      ""updated"": 1637001851,
      ""url"": null
    },
    {
      ""id"": ""jDmnHeSQwgHvbM"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1637001850,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""elephas"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""parliamentarian"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""pjt"",
      ""updated"": 1637001850,
      ""url"": null
    }
  ],
  ""has_more"": true,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2) --- [Path '/data/[item]/package_dimensions'] Object instance has properties which are not allowed by the schema: [""height"";""length"";""weight"";""width""] --- [Path '/data/[item]/tax_code'] Instance failed to match at least one required schema among 2",OAS disconformity,1671651371255,Stripe_Products_rt_6,../target/test-data/Stripe_Products_rt_6/test-cases_1671651371255.csv,1,58,../target/test-data/Stripe_Products_rt_6/test-cases_1671651371255.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651432906.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651484087.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651541151.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651591850.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651642290.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651694143.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651745737.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651795304.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651845988.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651895890.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651946954.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651997007.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652097601.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652158100.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652208616.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652260482.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652419501.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652635938.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652689809.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652743300.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652795659.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652852170.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652904510.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652958976.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653015116.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653071861.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653127603.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653181122.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653302798.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653358891.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653414307.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671653469206.csv,33
test_vb4266sas8yq_GetProducts,False,null,False,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,limit=20;active=false;url=dolefully;,,,test_vb4266sas8yq_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""prod_KZgGgH6QySOsRp"",
      ""object"": ""product"",
      ""active"": false,
      ""attributes"": [],
      ""created"": 1636612613,
      ""default_price"": null,
      ""description"": null,
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""milo"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""braise"",
      ""tax_code"": null,
      ""type"": ""service"",
      ""unit_label"": ""Xe"",
      ""updated"": 1636612613,
      ""url"": ""dolefully""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2) --- [Path '/data/[item]/tax_code'] Instance failed to match at least one required schema among 2",OAS disconformity,1671651845988,Stripe_Products_rt_6,../target/test-data/Stripe_Products_rt_6/test-cases_1671651845988.csv,2,3,../target/test-data/Stripe_Products_rt_6/test-cases_1671651845988.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671651997007.csv;../target/test-data/Stripe_Products_rt_6/test-cases_1671652158100.csv,3
test_1jyisq0xxnvhs_GetProducts,False,null,False,GetProducts,/v1/products,GET,application/x-www-form-urlencoded,application/json,Authorization=,,created%5Bgt%5D=1631285070;url=up-country;,,,test_1jyisq0xxnvhs_GetProducts,200,"{
  ""object"": ""list"",
  ""data"": [
    {
      ""id"": ""DlQ59fzteDutNjNdaVU"",
      ""object"": ""product"",
      ""active"": true,
      ""attributes"": [],
      ""created"": 1636608091,
      ""default_price"": null,
      ""description"": ""sidelong"",
      ""images"": [],
      ""livemode"": false,
      ""metadata"": {},
      ""name"": ""carburet"",
      ""package_dimensions"": null,
      ""shippable"": null,
      ""statement_descriptor"": ""freakishly"",
      ""tax_code"": ""txcd_40100002"",
      ""type"": ""service"",
      ""unit_label"": null,
      ""updated"": 1636608091,
      ""url"": ""up-country""
    }
  ],
  ""has_more"": false,
  ""url"": ""/v1/products""
}",application/json,False,"OAS disconformity: [Path '/data/[item]'] Object instance has properties which are not allowed by the schema: [""attributes"";""default_price"";""type""] --- [Path '/data/[item]/package_dimensions'] Instance failed to match exactly one schema (matched 0 out of 2)",OAS disconformity,1671652958976,Stripe_Products_rt_6,../target/test-data/Stripe_Products_rt_6/test-cases_1671652958976.csv,3,1,../target/test-data/Stripe_Products_rt_6/test-cases_1671652958976.csv,1
