Test suite generation,Whole process,Test suite execution
2247,2619805,4503
2539,2619805,2272
2467,2619805,1940
2329,2619805,1955
2463,2619805,2276
2450,2619805,2134
2447,2619805,2378
2425,2619805,1947
2501,2619805,2413
2478,2619805,2027
2339,2619805,2359
2577,2619805,2193
2348,2619805,2000
2488,2619805,2121
2718,2619805,2368
2958,2619805,3070
18706,2619805,21281
18746,2619805,20492
22885,2619805,20305
19027,2619805,21559
20699,2619805,24789
29943,2619805,23000
19795,2619805,22385
31820,2619805,19931
41436,2619805,26044
20461,2619805,26247
37182,2619805,22454
25430,2619805,20139
34469,2619805,19955
32527,2619805,19863
21593,2619805,19523
63965,2619805,21608
35367,2619805,20597
21417,2619805,20385
21598,2619805,19896
32185,2619805,20925
37784,2619805,19531
32575,2619805,19732
45450,2619805,18745
