Test suite generation,Whole process,Test suite execution
2293,24164962,44610
658,24164962,38644
715,24164962,38359
776,24164962,38300
703,24164962,38147
775,24164962,38578
660,24164962,38647
2676,24164962,293299
2623,24164962,293271
2534,24164962,292245
2547,24164962,293195
3277,24164962,296333
4438,24164962,292361
4740,24164962,292462
13394,24164962,1212788
10483,24164962,606020
18807,24164962,291458
22495,24164962,291574
24918,24164962,291692
35388,24164962,292750
72361,24164962,291601
57201,24164962,292030
68076,24164962,292867
82292,24164962,291864
83876,24164962,292503
102164,24164962,291600
149915,24164962,292340
139088,24164962,291716
247176,24164962,292111
197493,24164962,291902
196986,24164962,292057
192116,24164962,293414
366810,24164962,291714
319027,24164962,292144
291971,24164962,291897
455607,24164962,292431
603486,24164962,292420
352452,24164962,291952
826941,24164962,291352
649909,24164962,292552
