Test suite generation,Whole process,Test suite execution
728,2213980,62444
558,2213980,60264
419,2213980,49255
555,2213980,50624
485,2213980,39173
487,2213980,60349
491,2213980,68589
526,2213980,56550
490,2213980,53395
542,2213980,62203
490,2213980,51533
550,2213980,57176
388,2213980,38646
457,2213980,51258
469,2213980,50263
460,2213980,60009
447,2213980,36340
472,2213980,37837
428,2213980,36397
475,2213980,40315
462,2213980,56351
445,2213980,50126
514,2213980,38408
354,2213980,38357
490,2213980,55981
474,2213980,47685
485,2213980,48958
498,2213980,26133
375,2213980,25621
500,2213980,20156
373,2213980,20230
598,2213980,25783
609,2213980,27226
494,2213980,20092
496,2213980,28782
465,2213980,20109
486,2213980,25982
488,2213980,25789
475,2213980,27191
483,2213980,26652
