Test suite generation,Whole process,Test suite execution
1757,2434000,1912
3488,2434000,1331
3511,2434000,1183
3553,2434000,1124
3496,2434000,1114
3502,2434000,929
3816,2434000,1035
3588,2434000,1123
3609,2434000,1082
3695,2434000,936
3667,2434000,964
3699,2434000,988
3750,2434000,930
4065,2434000,1116
3791,2434000,1035
3819,2434000,923
24658,2434000,10960
24674,2434000,10755
25219,2434000,9954
25576,2434000,10469
25701,2434000,11207
26069,2434000,10940
25992,2434000,9387
26455,2434000,9145
26454,2434000,9298
27267,2434000,10213
26926,2434000,9306
27231,2434000,9745
28645,2434000,9137
28152,2434000,11869
28235,2434000,11042
29191,2434000,9302
28674,2434000,10644
28922,2434000,12787
30012,2434000,9335
29771,2434000,10906
30243,2434000,8658
30765,2434000,9624
30356,2434000,11497
