Test suite generation,Whole process,Test suite execution
2211,7913237,2149
6760,7913237,1687
6571,7913237,1660
6526,7913237,1443
7047,7913237,1419
6669,7913237,1469
6831,7913237,1269
6709,7913237,1415
6874,7913237,1451
7247,7913237,1461
6914,7913237,1448
6984,7913237,1963
7185,7913237,1786
6959,7913237,1617
7030,7913237,2089
7257,7913237,1501
7193,7913237,1643
7231,7913237,1712
7188,7913237,1765
7454,7913237,1436
7358,7913237,1363
7475,7913237,1774
7497,7913237,1437
7783,7913237,1461
7531,7913237,2354
7563,7913237,1400
7805,7913237,1642
7759,7913237,1544
7762,7913237,1801
316572,7913237,17658
1452076,7913237,22845
909256,7913237,23052
386718,7913237,21391
363896,7913237,22823
186333,7913237,24200
90087,7913237,24665
79650,7913237,23218
73452,7913237,20352
