Test suite generation,Whole process,Test suite execution
2326,16144033,505729
21,16144033,556000
12,16144033,403423
380,16144033,570945
19,16144033,479340
10,16144033,467241
276,16144033,388525
7,16144033,615359
17,16144033,507879
348,16144033,497365
9,16144033,496203
43,16144033,467835
359,16144033,481525
15,16144033,485297
12,16144033,441205
351,16144033,490617
6,16144033,319370
8,16144033,359401
379,16144033,361787
8,16144033,322210
11,16144033,357125
11,16144033,298683
385,16144033,299389
9,16144033,319808
11,16144033,303646
8,16144033,342450
334,16144033,317302
15,16144033,299888
10,16144033,299447
16,16144033,338446
346,16144033,300599
10,16144033,301125
11,16144033,302375
7,16144033,302194
327,16144033,300983
7,16144033,354499
9,16144033,344350
6,16144033,344173
334,16144033,363837
8,16144033,333060
